nohup: ignoring input
{'coins': 510594, 'danmakus': 318085, 'follow': 4321692, 'series_follow': 4580004, 'views': 19860080}
{'coins': 510938, 'danmakus': 318374, 'follow': 4322340, 'series_follow': 4581038, 'views': 19888136}
{'coins': 511223, 'danmakus': 318620, 'follow': 4322997, 'series_follow': 4581949, 'views': 19915502}
{'coins': 511564, 'danmakus': 318874, 'follow': 4323712, 'series_follow': 4583112, 'views': 19945424}
{'coins': 511930, 'danmakus': 319136, 'follow': 4324475, 'series_follow': 4584344, 'views': 19975954}
{'coins': 512285, 'danmakus': 319366, 'follow': 4325196, 'series_follow': 4585511, 'views': 20003166}
{'coins': 512556, 'danmakus': 319531, 'follow': 4325855, 'series_follow': 4586429, 'views': 20023382}
{'coins': 512726, 'danmakus': 319627, 'follow': 4326300, 'series_follow': 4587070, 'views': 20037721}
{'coins': 512813, 'danmakus': 319673, 'follow': 4326548, 'series_follow': 4587459, 'views': 20046695}
{'coins': 512868, 'danmakus': 319711, 'follow': 4326715, 'series_follow': 4587698, 'views': 20052240}
{'coins': 512903, 'danmakus': 319731, 'follow': 4326839, 'series_follow': 4587864, 'views': 20055701}
{'coins': 512942, 'danmakus': 319746, 'follow': 4326898, 'series_follow': 4587954, 'views': 20058229}
{'coins': 512962, 'danmakus': 319758, 'follow': 4326979, 'series_follow': 4588066, 'views': 20060771}
{'coins': 513033, 'danmakus': 319775, 'follow': 4327109, 'series_follow': 4588266, 'views': 20065750}
{'coins': 513150, 'danmakus': 319817, 'follow': 4327309, 'series_follow': 4588571, 'views': 20074546}
{'coins': 513332, 'danmakus': 319939, 'follow': 4327663, 'series_follow': 4589067, 'views': 20087624}
